                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8338,                 14.686,                 1.1602,                0.42884,                0.16533,                  0.099,                0.04428,                 1.9311,                 7.4673,                0.87362,             0.00018406,             0.00018406,             0.00018406
                      1,                 2.4404,                 9.7276,                0.96642,                 0.3083,                0.25409,                0.20471,                0.10794,                   1.85,                  7.151,                0.86356,             0.00036482,             0.00036482,             0.00036482
                      2,                 2.4075,                 8.0472,                0.93975,                0.37014,                0.31029,                0.26377,                0.14235,                 1.7541,                  3.589,                0.87408,             0.00054099,             0.00054099,             0.00054099
                      3,                  2.399,                 6.3743,                0.94966,                0.29285,                0.41904,                0.31443,                0.17803,                 1.6693,                 1.9261,                0.85434,             0.00053536,             0.00053536,             0.00053536
                      4,                 2.3031,                 4.9831,                0.94186,                0.48462,                0.38551,                0.42793,                 0.2232,                 1.6511,                 1.5882,                0.84961,             0.00053536,             0.00053536,             0.00053536
                      5,                 2.2753,                 4.2008,                0.93522,                0.32987,                0.54018,                 0.4725,                0.26889,                 1.6374,                 1.5686,                0.85473,             0.00052848,             0.00052848,             0.00052848
                      6,                 2.2066,                  3.476,                0.94777,                0.51626,                0.56374,                0.58124,                0.30793,                 1.6554,                 1.4538,                 0.8466,              0.0005216,              0.0005216,              0.0005216
                      7,                 2.1772,                 3.1125,                0.92601,                0.44842,                0.48941,                0.49131,                0.28157,                 1.5299,                 1.4175,                0.84814,             0.00051472,             0.00051472,             0.00051472
                      8,                 2.1733,                 2.8275,                0.92727,                0.54961,                0.63456,                0.62375,                0.31196,                 1.6778,                 1.2377,                0.86787,             0.00050784,             0.00050784,             0.00050784
                      9,                 2.1005,                 2.5012,                0.93233,                0.65239,                0.68662,                 0.7287,                0.40982,                 1.4697,                 1.1409,                0.83931,             0.00050096,             0.00050096,             0.00050096
                     10,                 2.1267,                 2.4774,                0.93339,                0.64322,                0.76424,                0.79673,                0.43526,                 1.4874,                 1.0737,                0.83903,             0.00049408,             0.00049408,             0.00049408
                     11,                 2.0616,                 2.1876,                0.91745,                 0.7007,                0.78473,                0.82058,                0.43438,                 1.5981,                0.98935,                 0.8499,             0.00048719,             0.00048719,             0.00048719
                     12,                 2.0493,                 2.0632,                0.91363,                0.77851,                0.81978,                0.86003,                0.48108,                 1.4125,                 0.9257,                0.83676,             0.00048031,             0.00048031,             0.00048031
                     13,                 2.0566,                 1.9985,                0.91406,                0.81515,                0.84083,                0.88939,                0.46619,                 1.4792,                0.93438,                0.83671,             0.00047343,             0.00047343,             0.00047343
                     14,                 2.0422,                 1.9418,                0.90522,                0.75241,                0.76194,                0.82748,                0.44803,                 1.4799,                 1.0776,                0.83455,             0.00046655,             0.00046655,             0.00046655
                     15,                 2.0521,                  1.892,                0.91249,                0.79654,                0.85053,                0.89191,                0.50176,                  1.411,                0.87255,                0.83113,             0.00045967,             0.00045967,             0.00045967
                     16,                 1.9498,                    1.7,                 0.9006,                0.84471,                0.89037,                0.92963,                0.51987,                 1.4206,                0.74752,                 0.8338,             0.00045279,             0.00045279,             0.00045279
                     17,                 2.0105,                 1.7399,                0.89998,                0.80818,                 0.8614,                0.89334,                0.50098,                 1.4387,                0.86893,                0.84857,             0.00044591,             0.00044591,             0.00044591
                     18,                 1.9943,                 1.7123,                0.90724,                0.81123,                0.88721,                0.93489,                0.50864,                 1.4268,                0.77328,                0.83643,             0.00043903,             0.00043903,             0.00043903
                     19,                  1.963,                 1.6527,                0.89423,                0.87929,                0.93598,                0.93988,                0.52119,                 1.4305,                0.69297,                0.83012,             0.00043215,             0.00043215,             0.00043215
                     20,                 1.9572,                 1.6375,                0.90331,                0.84342,                0.87668,                0.93253,                0.53801,                  1.385,                0.79127,                0.82827,             0.00042527,             0.00042527,             0.00042527
                     21,                 1.9358,                 1.5613,                0.89326,                0.79248,                0.84923,                0.88363,                0.49395,                 1.4184,                0.90306,                0.82938,             0.00041839,             0.00041839,             0.00041839
                     22,                 1.9284,                 1.5318,                 0.8952,                0.82866,                0.94873,                0.94175,                0.53186,                 1.4337,                0.70321,                0.83138,             0.00041151,             0.00041151,             0.00041151
                     23,                 1.8876,                  1.492,                0.89126,                0.82875,                0.95807,                0.95535,                0.55493,                 1.3408,                0.66872,                0.82339,             0.00040463,             0.00040463,             0.00040463
                     24,                 1.9447,                 1.5294,                0.88955,                0.85426,                0.96493,                0.95092,                0.55108,                 1.3326,                0.68198,                0.82225,             0.00039775,             0.00039775,             0.00039775
                     25,                 1.8857,                 1.4728,                0.89538,                  0.784,                0.79435,                0.84223,                0.47702,                 1.4016,                0.93377,                0.82451,             0.00039087,             0.00039087,             0.00039087
                     26,                 1.8902,                 1.4554,                0.89292,                0.87189,                0.92819,                 0.9389,                0.55123,                 1.3386,                0.66602,                0.82156,             0.00038399,             0.00038399,             0.00038399
                     27,                 1.8981,                 1.4872,                0.88469,                0.88173,                0.95874,                0.94882,                0.56286,                 1.3297,                0.63202,                  0.824,             0.00037711,             0.00037711,             0.00037711
                     28,                 1.8682,                 1.4366,                0.88554,                0.85031,                0.93261,                0.94536,                0.55388,                 1.3202,                0.69176,                0.81888,             0.00037023,             0.00037023,             0.00037023
                     29,                 1.8602,                 1.4233,                0.89757,                0.86842,                0.92341,                0.95088,                0.56916,                 1.3197,                0.68529,                0.81981,             0.00036335,             0.00036335,             0.00036335
                     30,                 1.8676,                 1.3801,                0.87702,                0.87596,                 0.9679,                0.95749,                0.56239,                 1.3019,                0.63234,                0.82074,             0.00035647,             0.00035647,             0.00035647
                     31,                 1.8512,                 1.3704,                0.87522,                0.90115,                0.96863,                0.95642,                0.55032,                 1.3558,                0.63334,                0.82781,             0.00034958,             0.00034958,             0.00034958
                     32,                 1.8441,                 1.3627,                0.89903,                0.82693,                0.93083,                 0.9513,                0.56459,                 1.2989,                0.63574,                0.82181,              0.0003427,              0.0003427,              0.0003427
                     33,                 1.8349,                 1.3359,                0.88297,                0.86927,                0.93371,                0.96051,                 0.5772,                 1.3057,                0.65698,                0.81968,             0.00033582,             0.00033582,             0.00033582
                     34,                 1.8107,                 1.3485,                0.87425,                0.87924,                0.96552,                0.95291,                 0.5723,                 1.2703,                0.59709,                0.81722,             0.00032894,             0.00032894,             0.00032894
                     35,                 1.7939,                 1.3323,                0.87871,                0.88468,                0.96056,                 0.9565,                0.58557,                 1.2586,                0.62219,                0.81822,             0.00032206,             0.00032206,             0.00032206
                     36,                 1.8253,                 1.3126,                0.88144,                0.88993,                0.93122,                0.95298,                0.58091,                 1.2635,                0.62985,                0.81726,             0.00031518,             0.00031518,             0.00031518
                     37,                  1.794,                 1.2917,                0.88258,                 0.8999,                0.96729,                0.96665,                0.56208,                 1.2773,                0.62961,                0.81724,              0.0003083,              0.0003083,              0.0003083
                     38,                 1.7858,                 1.2898,                0.87706,                0.89809,                0.92716,                0.95117,                0.57783,                 1.2371,                 0.6056,                0.81466,             0.00030142,             0.00030142,             0.00030142
                     39,                 1.8036,                 1.2889,                0.87845,                0.86957,                0.96244,                0.96428,                0.56886,                 1.2991,                0.61888,                0.81641,             0.00029454,             0.00029454,             0.00029454
                     40,                 1.8064,                 1.2872,                0.88246,                 0.8941,                0.96928,                0.96004,                0.56075,                  1.333,                0.64284,                0.81945,             0.00028766,             0.00028766,             0.00028766
                     41,                 1.7903,                 1.2697,                 0.8836,                0.91003,                0.94597,                 0.9602,                0.58746,                 1.2483,                0.59111,                0.81296,             0.00028078,             0.00028078,             0.00028078
                     42,                 1.7891,                 1.2885,                0.86912,                0.89986,                0.93421,                0.96487,                0.57909,                 1.2775,                0.61759,                0.81611,              0.0002739,              0.0002739,              0.0002739
                     43,                 1.7468,                 1.2382,                 0.8712,                0.89022,                 0.9538,                0.97274,                0.58171,                 1.2733,                0.57763,                0.81825,             0.00026702,             0.00026702,             0.00026702
                     44,                 1.7761,                 1.2646,                0.87005,                0.90919,                0.94882,                0.97142,                0.56628,                 1.2782,                 0.6169,                0.81581,             0.00026014,             0.00026014,             0.00026014
                     45,                 1.7836,                 1.2605,                 0.8627,                0.89135,                0.96085,                0.96706,                0.57602,                 1.2691,                 0.6275,                0.81632,             0.00025326,             0.00025326,             0.00025326
                     46,                 1.7471,                 1.2329,                0.87144,                0.88985,                0.96739,                0.96161,                0.59579,                 1.1922,                0.58776,                 0.8103,             0.00024638,             0.00024638,             0.00024638
                     47,                 1.7421,                  1.227,                0.86843,                0.90643,                0.96643,                0.96959,                 0.5809,                  1.247,                0.56626,                0.81382,              0.0002395,              0.0002395,              0.0002395
                     48,                  1.778,                  1.251,                0.86612,                0.91406,                0.97627,                0.97924,                 0.5932,                  1.246,                0.58986,                0.81472,             0.00023262,             0.00023262,             0.00023262
